rule_id,metric,eligible_context,severity,condition,persistence,action,evidence_status
RR_BASELINE_SHIFT,respiratory_rate,sleep_candidate,watch,3-day median >=20% above personal 28-day median,3 consecutive days,Ask owner to recount for 60 seconds and monitor symptoms,Engineering proposal; prospectively validate
RR_SLEEP_25,respiratory_rate,sleep_candidate,watch,nightly median >25 breaths/min,2 nights,Confirm manually and consider routine veterinary contact if persistent,Supported as uncommon mean in healthy/subclinical cohorts; not a diagnosis
RR_SLEEP_30,respiratory_rate,sleep_candidate,high,confirmed value >=30 breaths/min,2 valid 60-second windows separated by 10 minutes,Manual recount and contact veterinarian if confirmed or baseline is rising,Healthy adult sleeping values rarely exceed 30
RR_REST_40,respiratory_rate,sleep_candidate or quiet_awake_rest,urgent,>=40 breaths/min,5 continuous valid minutes,Urgent veterinary advice especially with effort or other symptoms,Conservative product guardrail; symptoms override number
RR_LOW,respiratory_rate,sleep_candidate,info,<8 breaths/min,2 valid 60-second windows,Check signal/contact and visually observe breathing; do not diagnose,No validated universal low sleeping cutoff; values near 7 have been reported
APNEA_CANDIDATE,respiratory_motion,sleep_candidate,high,>=90% respiratory amplitude reduction for >=20 seconds,2 events in 10 minutes,Label possible apnea or signal loss and request observation/clinical review,Engineering screen only; requires airflow/effort/oxygen validation
HR_BASELINE_SHIFT,heart_rate,sleep_candidate or quiet_awake_rest,watch,3-day median changes >=20% from personal 28-day median,3 consecutive days,Confirm at rest and review illness heat stress pain medication and symptoms,Engineering proposal; long-term trend evidence exists
HR_LOW_40,heart_rate,sleep_candidate or quiet_awake_rest,high,<40 bpm,3 of 5 valid 60-second windows,Manual pulse check and veterinary contact if confirmed or symptomatic,VCOG outer guardrail; ECG required for rhythm diagnosis
HR_LOW_30,heart_rate,sleep_candidate or quiet_awake_rest,urgent,<30 bpm,30 continuous seconds with high signal quality,Urgent veterinary advice if confirmed; emergency if weak collapse or breathing difficulty,VCOG severe bradycardia band; ECG/context required
HR_HIGH_140,heart_rate,sleep_candidate or quiet_awake_rest,high,>140 bpm,3 of 5 valid 60-second windows,Check for heat stress pain fear and confirm; contact veterinarian if persistent,VCOG tachycardia outer guardrail; not consumer alarm standard
HR_HIGH_180,heart_rate,sleep_candidate or quiet_awake_rest,urgent,>180 bpm,30 continuous seconds with high signal quality,Urgent veterinary advice if confirmed; emergency if collapse weakness or breathing difficulty,VCOG grade-2 band; ECG/context required
IRREGULAR_PULSE,inter_beat_variability,sleep_candidate or quiet_awake_rest,watch,irregularity model threshold exceeded,3 high-quality 5-minute windows,Report irregular pulse candidate and recommend ECG/Holter confirmation,No arrhythmia diagnosis from mechanical pulse alone

