filepath,raw_label,unified_label,source,group_id,split
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\453.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,0,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\454.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\5.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,2,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\56.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,988,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\56f.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,3,test
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\572 (2).jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,4,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\572.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,5,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\75.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,6,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\752.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,989,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\78.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,7,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\877.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,8,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\89.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,992,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\acral_lick_dermatitis_4935_7_600.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1131,val
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\acute_moist_dermatitis_4935_8_600.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1132,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\atopic_dermatitis_4935_3_600.jpg,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1133,train
D:\22_SkinSense_ML\dataset1\Dogs\Bacterial_dermatosis\atopic_dermatitis_in_cats_causes_symptoms_and_treatment_4206.webp,Bacterial_dermatosis,Bacterial_dermatosis,dataset1,1134,test
